ResponseId,Source,M1,M2,M3,credible_1,credible_2,credible_3,credible_4,credible_5,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,CE_1,CE_2,INV_1,INV_2,INV_3,INV_4,ATT_1,ATT_2,ATT_3,ATT_4,ATT_5,EFF_1_1,EFF_1_2,EFF_1_3,EFF_1_4,EFF_2_1,EFF_2_2,EFF_2_3,EFF_2_4,EFF_2_5,gender,age,
R_21pNVoDwt0aGo4x,,1,2,1,4,2,5,2,2,1,1,1,1,1,1,1,1,5,5,6,4,5,3,5,5,5,6,4,2,4,2,2,4,4,4,4,4,2,22,no
R_2TH1E7na4DqMA33,Jennifer Lawrence,5,6,5,6,6,6,6,6,4,4,5,5,4,4,4,4,5,5,7,6,7,6,7,7,7,7,7,4,5,5,5,7,7,7,7,7,2,18,No
R_1rrhPIaXlqsd1iZ,,1,1,2,6,5,4,4,4,3,3,2,1,1,1,1,1,5,4,5,4,2,2,5,6,4,4,4,2,3,6,6,4,5,5,6,4,2,19,no
R_1OoDw4YneAAcI16,Ali B,6,6,7,6,3,3,3,4,1,1,1,1,1,1,1,1,6,4,7,7,7,5,7,7,7,7,5,2,5,5,5,5,5,5,5,5,1,18,No
R_2cwHzMegRRyTaky,,1,2,3,5,5,5,5,5,1,1,1,2,1,1,1,1,1,2,7,6,7,4,6,6,6,4,5,2,4,2,5,4,6,5,5,6,2,19,nope!
R_2EsC3mDHof5MuIu,Blake,6,7,6,7,5,3,5,4,1,1,3,2,1,1,2,1,6,6,7,7,5,4,6,5,5,3,4,2,5,3,3,2,3,6,3,2,1,18,no
R_w0fCDEdQg3lFi1P,,4,4,3,5,5,5,5,4,5,5,2,2,2,2,1,1,4,5,6,4,6,4,4,4,4,4,4,6,5,3,3,6,4,5,3,4,2,21,
R_26eUh8edOOX84nD,Sophia,7,7,6,6,6,6,6,6,7,6,2,5,4,5,5,2,6,4,7,7,5,4,6,7,6,4,4,4,5,5,5,4,6,6,4,5,1,20,no
R_3RqrtOVimTAjtqP,Althea,7,7,5,7,5,4,7,7,6,5,5,1,3,4,3,2,7,6,7,5,4,3,6,6,6,6,7,5,5,2,6,6,6,5,5,5,2,56,"Some of the prompts were grammatically incorrect and confused me -- such as ""the conversation of the dish"" which I think meant to be read ""the conversion of the dish."" Otherwise it was fine."
R_OJWWEuj4QVSOKsN,Teo Sanico,7,7,4,5,6,5,7,6,3,2,2,1,2,2,1,1,4,5,6,4,3,3,5,5,5,4,4,3,3,5,5,4,5,3,6,5,2,19,No
